24/03/99,,Piombino I,2,1,1,I 156-157
12/07/99,27/07/99,Imola,14,7,7 (4+3),I 171-184
10/06/00,11/07/00,Front pisan,15,15,0,I 238-252
17/07/00,12/12/00,France I,49,27,22 (3+),I 256-304
02/02/01,,Pistoia camp.,1,0,1,II 2
23/07/01,24/07/01,Pistoia,3,0,3,II 108-110
18/08/01,,Sienne I,1,0,1,II 117
22/06/02,26/06/02,CB I,7,2,5,II 174-180
15/08/02,20/08/02,Arezzo,3,0,3,II 216-218
04/10/02,21/01/03,CB II,95,53,42,II 247-341
26/04/03,,Sienne II,1,0,1,II 395
23/10/03,16/12/03,Rome I,86,48,38,III 209-294
18/01/04,25/02/04,France II,6,5,1,III 313-318
02/04/04,,Piombino II,3,0,3,III 319-321
09/04/05,11/04/05,Pérouse,3,1,2,IV 366-368
04/05/05,,Mantoue,4,2,2*,IV 395-398
16/07/05,24/07/05,Sienne III,11,7,4,IV 508-518
30/12/05,03/01/06,Mugello I,4,1,3,V 207-210
17/01/06,,Mugello II,1,1,0,V 214
05/02/06,06/02/06,Mugello III,2,1,1,V 222-223
26/02/06,14/03/06,Casentino I,7,2,5,V 239-245
25/08/06,26/10/06,Rome II,67,40,27,V 457-523
15/04/07,,Tosc. Mérid,1,1*,0,VI 5
18/05/07,20/05/07,Piombino III,2,0,2,VI 11-12
28/07/07,,Dominio I,1,1*,0,VI 28
10/08/07,14/08/07,Sienne IV,3,3,0,VI 33-35
21/12/07,29/11/08,Empereur I,46,26,20,VI 59-104
01/02/09,11/03/09,ctre Pise I,40,2,38,VI 105-144
10/03/09,15/03/09,Piombino IV,4,0,4,VI 145-148
30/03/09,25/05/09,ctre Pise II,25,13,12,VI 150-174
31/05/09,06/06/09,ctre Pise III,23,21,2,VI 176-188
10/11/09,17/12/09,Empereur II,23,14,9,VI 197-219
12/03/10,,Gargonza,1,0,1,VI 225
20/06/10,16/09/10,France III,69,21,48,VI 232-300
12/11/10,,Dominio II,1,0,1,VI 302
02/12/10,,Sienne V,1,0,1,VII 1
04/01/11,,ctre Pise IV,1,0,1,VII 2
15/01/11,,Arezzo II,1,0,1,VII 4
15/02/11,,Poggio Imp,1,0,1,VII 6
14/03/11,,Valdichiana I,1,1*,0,VII 10
23/04/11,,Valdichiana II,1,0,1,VII 11
12/05/11,13/05/11,Monaco,5,0,5*,VII 13-17
24/08/11,,Valdichiana III,1,0,1,VII 25
10/09/11,04/10/11,France IV,9,3,6,VII 29-37
02/11/11,06/11/11,région pisane I,4,1,3,VII 38-41
02/12/11,05/12/11,Bibbiena,2,1,1,VII 44-45
07/05/12,,région pisane II,1,1,0,VII 55
26/05/12,29/05/12,région pisane III,5,4,1,VII 57-61
05/06/12,10/06/12,région pisane III,4,2,2,VII 62-65
13/06/12,27/06/12,Valdichiana IV,5,3,2,VII 66-70
28/07/12,31/07/12,Mugello IV,4,0,4,VII 79-82
22/08/12,24/08/12,Mugello V,3,1,2,VII 84-86
